0x9284135D, init
0xEC264B2E, initial_variables
0x15544841, initialize_menu
0xFB500CD3, input_manager
0x1F26B6EB, player_connect
0xFEC2E2AD, open_menu
0xCC09E153, close_menu
0x1CA8A22D, close_controls_menu
0x40A7558D, set_menu_visibility
0xD5EA17F0, set_text
0xE2DACB2B, set_shader_height
0xF657ACE9, set_lui_element_x
0x2C839940, set_lui_element_y
0x69453E2E, update_element_positions
0xD5163D06, set_menu_color
0xF26B389, create_rainbow_color
0xF0D557B3, start_rainbow
0xDF47A93E, return_toggle
0xCCD7591C, set_variable
0x4A82C16F, remove_from_array
0x42A328B2, execute_function
0x58D27B23, add_option
0x4B7EA67, add_toggle
0xAD88D2FF, add_array
0x628281E1, add_increment
0x8101EA46, add_menu
0x30112462, new_menu
0xA3ED0F9E, empty_option
0x1CF9A91C, scroll_cursor
0x6E2F9762, scroll_slider
0xA0D8CCB6, set_options
0xE4288074, modify_menu_position
0xE709099E, set_menu_rainbow
0x55638223, set_menu_colors
0xA7E74C75, hide_ui
0x6395585F, hide_weapon
0x89F2DF9, __init__system__
0xEC264B2E, initial_variables
0x15544841, initialize_menu
0xFB500CD3, input_manager
0x1F26B6EB, player_connect
0xE63CB8AF, menu_call
0x5B4045FC, open_gun_game_menu
0x53BBF9D2, get_map_name
0xBF384607, menu_option
0xEBB653EB, start_game
0x20CDAA9F, track_progress
0x279297CC, check_weapon
0x997A26F9, increment_points
0x4FF72F46, watch_points_spent
0xC9F765FF, track_points
0x24DE1FF7, increment_kills
0xC56EE18D, track_kills
0x6A4D1BE9, update_game_info
0x3D49C176, refill_ammo
0x6B616C01, increment_pack_level
0xDC2D810D, pack_weapons
0x8E8CF6D1, guarantee_weapon
0x1ADBA75E, update_weapon
0xED855E11, third_person
0x143B1119, set_progression_method
0x81B284E5, get_zombies
0x5F4E093D, set_zombie_speed
0x772907D2, update_zombie_speed
